iteration,topic,domain,method,generator_model,evaluator,user_level,avg_ctr,best_ctr,worst_ctr,median_ctr,std_ctr,pool_size,n_dropped,n_added_explore,n_added_exploit,eval_time_sec,gen_time_sec,sim_time_sec,total_time_sec,chosen_arm,reward,arm_explore_count,arm_exploit_count,arm_both_count,arm_explore_value,arm_exploit_value,arm_both_value
3,Carl Jung,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01112,0.0138,0.0078,0.0118,0.0022112439937736405,5,1,1,0,30.325,2.169,0.114,32.608,explore,-0.0006399999999999999,2,1,1,0.00014000000000000123,0.00028000000000000247,-0.0012799999999999999
4,Carl Jung,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0102,0.013,0.0076,0.0098,0.001905780679931455,5,1,0,1,29.479,0.899,0.106,30.485,exploit,-0.000760000000000002,2,2,1,0.00014000000000000123,-0.00023999999999999976,-0.0012799999999999999
5,Carl Jung,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00916,0.012,0.0062,0.01,0.002203270296627266,5,1,1,1,29.233,2.415,0.114,31.762,both,0.0003599999999999992,2,2,2,0.00014000000000000123,-0.00023999999999999976,-0.00046000000000000034
6,Carl Jung,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00988,0.0144,0.0066,0.0086,0.0026910221106486655,5,1,1,0,29.106,1.479,0.131,30.717,explore,-0.0001999999999999988,3,2,2,2.6666666666667893e-05,-0.00023999999999999976,-0.00046000000000000034
7,Carl Jung,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00892,0.0142,0.0062,0.0082,0.0028777769197767923,5,1,0,1,30.361,1.089,0.111,31.561,exploit,0.0002399999999999989,3,3,2,2.6666666666667893e-05,-8.000000000000021e-05,-0.00046000000000000034
8,Carl Jung,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.008119999999999999,0.0112,0.006,0.007,0.0021562931155109685,5,1,1,1,30.954,3.476,0.108,34.538,both,0.00068,3,3,3,2.6666666666667893e-05,-8.000000000000021e-05,-8.000000000000021e-05
9,Carl Jung,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.008799999999999999,0.0132,0.0058,0.0068,0.0032960582519124264,5,1,1,0,31.943,2.085,0.099,34.128,explore,0.0003599999999999992,4,3,3,0.00011000000000000072,-8.000000000000021e-05,-8.000000000000021e-05
10,Carl Jung,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00936,0.0128,0.0066,0.0082,0.002473539973398449,5,1,0,1,31.839,0.936,0.11,32.885,exploit,-0.0005999999999999998,4,4,3,0.00011000000000000072,-0.00021000000000000012,-8.000000000000021e-05
11,Carl Jung,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.009720000000000001,0.0138,0.0066,0.0078,0.003275606814011718,5,1,1,1,34.632,2.98,0.122,37.734,both,-0.0014400000000000003,4,4,4,0.00011000000000000072,-0.00021000000000000012,-0.00042000000000000023
12,Carl Jung,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00956,0.0126,0.006,0.0102,0.0022676860452893388,5,1,1,0,31.868,2.552,0.114,34.535,explore,-0.0005600000000000015,5,4,4,-2.3999999999999716e-05,-0.00021000000000000012,-0.00042000000000000023
13,Carl Jung,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.009600000000000001,0.013,0.0052,0.0108,0.003291200388915874,5,1,0,1,32.272,1.002,0.102,33.376,exploit,-4.0000000000000105e-05,5,5,4,-2.3999999999999716e-05,-0.0001760000000000001,-0.00042000000000000023
14,Carl Jung,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.008799999999999999,0.0116,0.0068,0.0082,0.0018286607121059935,5,1,1,1,29.887,4.889,0.121,34.897,both,0.00016000000000000042,5,5,5,-2.3999999999999716e-05,-0.0001760000000000001,-0.0003040000000000001
0,History of film,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01188,0.0202,0.0062,0.0098,0.0048885171575847,5,1,1,0,29.081,1.58,0.094,30.756,explore,-0.0007999999999999986,1,0,0,-0.0007999999999999986,0.0,0.0
1,History of film,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01172,0.0202,0.0066,0.01,0.004600173909756021,5,1,0,1,27.375,1.325,0.092,28.792,exploit,-4.0000000000000105e-05,1,1,0,-0.0007999999999999986,-4.0000000000000105e-05,0.0
2,History of film,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0118,0.0168,0.009,0.0098,0.0031419739018648768,5,1,1,1,27.973,2.627,0.106,30.706,both,0.0002399999999999989,1,1,1,-0.0007999999999999986,-4.0000000000000105e-05,0.0002399999999999989
3,History of film,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.011640000000000001,0.016,0.009,0.0116,0.002602767757599591,5,1,1,1,28.189,2.761,0.125,31.075,both,0.0004399999999999994,1,1,2,-0.0007999999999999986,-4.0000000000000105e-05,0.00033999999999999916
