domain,method,topic,iteration,ctr
wikipedia,partial_ctr,The Beatles' rooftop concert,8,0.015239999999999998
wikipedia,partial_ctr,The Beatles' rooftop concert,9,0.016560000000000002
wikipedia,partial_ctr,The Beatles' rooftop concert,10,0.016360000000000003
wikipedia,partial_ctr,The Beatles' rooftop concert,11,0.01616
wikipedia,partial_ctr,The Beatles' rooftop concert,12,0.018719999999999997
wikipedia,partial_ctr,The Beatles' rooftop concert,13,0.01576
wikipedia,partial_ctr,The Beatles' rooftop concert,14,0.017759999999999998
wikipedia,partial_ctr,Vinson Massif,0,0.00912
wikipedia,partial_ctr,Vinson Massif,1,0.00924
wikipedia,partial_ctr,Vinson Massif,2,0.010400000000000001
wikipedia,partial_ctr,Vinson Massif,3,0.010240000000000003
wikipedia,partial_ctr,Vinson Massif,4,0.0098
wikipedia,partial_ctr,Vinson Massif,5,0.00848
wikipedia,partial_ctr,Vinson Massif,6,0.010519999999999998
wikipedia,partial_ctr,Vinson Massif,7,0.009479999999999999
wikipedia,partial_ctr,Vinson Massif,8,0.00868
wikipedia,partial_ctr,Vinson Massif,9,0.00928
wikipedia,partial_ctr,Vinson Massif,10,0.009760000000000001
wikipedia,partial_ctr,Vinson Massif,11,0.0092
wikipedia,partial_ctr,Vinson Massif,12,0.009040000000000001
wikipedia,partial_ctr,Vinson Massif,13,0.01016
wikipedia,partial_ctr,Vinson Massif,14,0.00776
wikipedia,partial_ctr,__MEAN__,0,0.010280000000000001
wikipedia,partial_ctr,__MEAN__,1,0.010788
wikipedia,partial_ctr,__MEAN__,2,0.012192
wikipedia,partial_ctr,__MEAN__,3,0.011156
